year,month,day,yyyymmdd,date,dayNum,dayOfWeek,isSun,isMon,isTues,isWeds,isThurs,isFri,isSat,dayOfWeekQC,hour,light,isLight,isDark,isTwilight,LightQC,ceilingHeight,visibilityDistance,dewPoint,seaLevelPressure
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,0,Dark,0,1,0,1,22000,16000,-11,10229
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,1,Dark,0,1,0,1,22000,16093,-6,10227
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,2,Dark,0,1,0,1,22000,16093,-6,10222
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,3,Dark,0,1,0,1,22000,16000,-6,10222
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,4,Dark,0,1,0,1,22000,16093,0,10213
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,5,Dark,0,1,0,1,22000,14484,-6,10213
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,6,Twilight,0,0,1,1,22000,14000,-6,10213
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,7,Twilight,0,0,1,1,22000,12875,-6,10208
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,8,Light,1,0,0,1,22000,12875,-11,10206
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,9,Light,1,0,0,1,22000,12000,-11,10206
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,10,Light,1,0,0,1,7620,12875,-11,10196
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,11,Light,1,0,0,1,22000,11265,-11,10199
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,12,Light,1,0,0,1,22000,11000,-11,10199
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,13,Light,1,0,0,1,22000,12875,33,10201
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,14,Light,1,0,0,1,4572,16093,56,10206
2011,1,1,20110101,1/1/2011,1,7,0,0,0,0,0,0,1,1,15,Light,1,0,0,1,99999,16000,56,10206
